n = 21
stations = 19
disc = 3
root = 9
max_h = 5
min_h = 1
max_w = 5

travel = [	0,	1.41666666666667,	2.98333333333333,	4.51666666666667,	5.91666666666667,	7.23333333333333,	8.43333333333333,	9.81666666666667,	11.7333333333333,	13.275,	14.85,	16.3083333333333,	17.475,	18.825,	20.4083333333333,	21.8583333333333,	23.225,	24.6166666666667,	26.1666666666667	]
permitted = [1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]

D = [[	0,	225,	375,	525,	750,	2250,	3825,	3000,	5250,	2250,	1500,	2250,	3750,	1425,	1875,	2250,	1125,	225,	300	],
[	600,	0,	500,	700,	1000,	3000,	5100,	4000,	7000,	3000,	2000,	3000,	5000,	1900,	2500,	3000,	1500,	300,	400	],
[	1500,	750,	0,	1750,	2500,	7500,	12750,	10000,	17500,	7500,	5000,	7500,	12500,	4750,	6250,	7500,	3750,	750,	1000	],
[	750,	375,	625,	0,	1250,	3750,	6375,	5000,	8750,	3750,	2500,	3750,	6250,	2375,	3125,	3750,	1875,	375,	500	],
[	2250,	1125,	1875,	2625,	0,	11250,	19125,	15000,	26250,	11250,	7500,	11250,	18750,	7125,	9375,	11250,	5625,	1125,	1500	],
[	3900,	1950,	3250,	4550,	6500,	0,	33150,	26000,	45500,	19500,	13000,	19500,	32500,	12350,	16250,	19500,	9750,	1950,	2600	],
[	9000,	4500,	7500,	10500,	15000,	45000,	0,	60000,	105000,	45000,	30000,	45000,	75000,	28500,	37500,	45000,	22500,	4500,	6000	],
[	6600,	3300,	5500,	7700,	11000,	33000,	56100,	0,	77000,	33000,	22000,	33000,	55000,	20900,	27500,	33000,	16500,	3300,	4400	],
[	10200,	5100,	8500,	11900,	17000,	51000,	86700,	68000,	0,	51000,	34000,	51000,	85000,	32300,	42500,	51000,	25500,	5100,	6800	],
[	4500,	2250,	3750,	5250,	7500,	22500,	38250,	30000,	52500,	0,	15000,	22500,	37500,	14250,	18750,	22500,	11250,	2250,	3000	],
[	2850,	1425,	2375,	3325,	4750,	14250,	24225,	19000,	33250,	14250,	0,	14250,	23750,	9025,	11875,	14250,	7125,	1425,	1900	],
[	4500,	2250,	3750,	5250,	7500,	22500,	38250,	30000,	52500,	22500,	15000,	0,	37500,	14250,	18750,	22500,	11250,	2250,	3000	],
[	7500,	3750,	6250,	8750,	12500,	37500,	63750,	50000,	87500,	37500,	25000,	37500,	0,	23750,	31250,	37500,	18750,	3750,	5000	],
[	4650,	2325,	3875,	5425,	7750,	23250,	39525,	31000,	54250,	23250,	15500,	23250,	38750,	0,	19375,	23250,	11625,	2325,	3100	],
[	3750,	1875,	3125,	4375,	6250,	18750,	31875,	25000,	43750,	18750,	12500,	18750,	31250,	11875,	0,	18750,	9375,	1875,	2500	],
[	6000,	3000,	5000,	7000,	10000,	30000,	51000,	40000,	70000,	30000,	20000,	30000,	50000,	19000,	25000,	0,	15000,	3000,	4000	],
[	900,	450,	750,	1050,	1500,	4500,	7650,	6000,	10500,	4500,	3000,	4500,	7500,	2850,	3750,	4500,	0,	450,	600	],
[	450,	225,	375,	525,	750,	2250,	3825,	3000,	5250,	2250,	1500,	2250,	3750,	1425,	1875,	2250,	1125,	0,	300	],
[	600,	300,	500,	700,	1000,	3000,	5100,	4000,	7000,	3000,	2000,	3000,	5000,	1900,	2500,	3000,	1500,	300,	0	]]


