n = 9
stations = 10
disc = 3
root = 5
max_h = 5
min_h = 1
max_w = 5

travel = [	0,	0.938,	1.4316,	2.7064,	3.3424,	4.326,	5.9352,	6.3296,	7.4008,	8.1508	]
permitted = [1,1,1,0,0,1,1,0,1,1]

D = [[	0,	25,	40,	45,	65,	50,	85,	205.,	20,	10	],
[	35,	0,	35,	40,	55.,	40,	75,	175,	20,	10	],
[	200,	175,	0,	65,	85,	65,	115.,	275,	30,	15	],
[	10,	5,	10,	0,	120,	95,	165,	385,	40,	20	],
[	115.,	100,	135,	1750,	0,	750,	1325,	3120,	335,	175	],
[	160,	140,	180,	2435,	655,	0,	1335,	3150,	335,	180	],
[	150,	135,	170,	2270,	610,	595,	0,	2645,	280,	150	],
[	25,	25,	30,	395,	105,	105,	395,	0,	260,	140	],
[	15,	15,	15,	230.,	60,	60,	230.,	25,	0,	25	],
[	5,	5,	5,	75,	20,	20,	75,	10,	15,	0	]]

